"Var1","Apical_Buds_0h_R2","Apical_Buds_0h_R3","Axillary_Buds_2h_R2","Apical_Buds_2h_R4","Axillary_Buds_2h_R1","Axillary_Buds_2h_R3","Apical_Buds_2h_R1","Apical_Buds_2h_R2","Axillary_Buds_0h_R1","Axillary_Buds_0h_R2","Axillary_Buds_0h_R3"
"A0A9D4WQT0_PEA.1",21.009600041448,20.8730367179839,19.5568799231655,20.4329640047864,19.5568799231655,18.2024446629214,20.7167683929061,20.5013604341018,21.0519033580618,20.5281475136633,20.7496619643315
"A0A9D4WQT5_PEA",15.5751758443909,16.2752284136362,19.5889220045882,16.534687475251,19.5889220045882,19.1850050985687,16.6861621661147,16.4349867820951,18.0244994393118,18.1899195197268,18.3260249542002
"A0A9D4WQX9_PEA",17.3984559275885,17.712217184484,17.5747883279364,17.5647728707856,17.5747883279364,17.7001278586772,17.4341762970706,17.7762441846494,18.2642091916359,18.45474170763,18.5676996763238
"A0A9D4WQZ3_PEA",22.0619955582274,21.7156532584544,20.8502725997401,22.0904151832436,20.8502725997401,21.0189206678761,21.9480825310991,21.9070392059511,19.4597599271674,19.359820555569,19.4455059404605
"A0A9D4WR45_PEA",22.0046630746415,22.1979045957922,21.7185271440247,21.9591832879723,21.7185271440247,21.9408780418914,22.7058946011487,22.2860934942634,21.1122307679087,21.0925164502199,20.9721048555195
"A0A9D4WR50_PEA",22.4181478339766,21.8686664959887,22.5320996801966,22.2432401559327,22.5320996801966,22.6606114635455,21.9395911875068,22.1933441539155,23.1093927980464,22.991334444998,23.0358657910773
"A0A9D4WR59_PEA",15.4584816069345,17.105267123956,17.2910031452284,17.3782503781179,16.3228598380038,16.9836475925323,17.8616706880587,15.6422985335689,19.5796184243796,19.3204225257468,19.6740457740594
"A0A9D4WR81_PEA",19.838166664935,20.4105251212207,18.7414182125876,19.6261964139055,18.7414182125876,18.7380578383652,20.0735034096124,19.8076120055425,18.9526076014415,17.9606740895541,18.6447322197074
"A0A9D4WRB1_PEA",20.4356541294641,20.2852576559804,19.2298278233381,20.3155557712435,19.2298278233381,18.9884349796689,20.316739787637,20.0911956598846,19.0302585857152,19.2197514216492,19.2364317790324
"A0A9D4WRB2_PEA",22.1261529851485,21.7165886769258,22.0475862553454,21.7513810037407,22.0475862553454,21.7817433419514,22.1432624632135,22.0984285719077,23.0963589177679,23.1293517513117,23.0876318065736
"A0A9D4WRB9_PEA",21.1405253527884,21.0066353251258,22.0192332198904,21.5593851876389,22.0192332198904,22.0561647655696,21.2797287338198,21.4689446014479,21.6689230219496,22.1196092990856,22.4750061640223
"A0A9D4WRC5_PEA",20.5793274408831,20.4142964796645,18.6617629327429,20.0905057284016,18.6617629327429,19.3504712590172,20.1942108348247,19.9734695495709,18.6910714492922,18.5872514297653,19.0129127870008
"A0A9D4WRE5_PEA",18.7006912619739,18.5393984548033,18.6124837280807,19.0857321918088,18.6124837280807,19.1237911030416,18.9643386365459,18.2422716853404,20.5575884041576,19.9478793066632,20.1421020576104
"A0A9D4WRH4_PEA",19.4579469416124,19.5196326006881,17.3575231814808,19.266911056032,17.3575181107442,17.395833330968,19.1403113255418,19.2620990751829,18.9647875459277,19.0165105639799,19.4947563749255
"A0A9D4WRI2_PEA",18.773500138112,19.3739440987804,18.6375919018567,19.1124404487902,18.6375919018567,19.2198084464986,19.4643264427841,18.8803359506085,17.8282120992093,17.1026581629068,16.9280650666965
"A0A9D4WRL1_PEA",19.9775530708734,19.8938401226086,21.1040069930037,20.285956449388,21.1040069930037,20.8033647046789,20.5394415469582,20.3173777929152,20.9822015772762,21.0227221007025,20.8389283475763
