"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D5BD08_PEA.1","A0A9D5BD08",0.719314145227881,0.838777657822802,0.604381169556109,0.996,0.92,0.785,FALSE,FALSE,FALSE,FALSE,-0.62,-0.35,-0.803,0.579,-0.041,0.229,-0.574
"A0A9D5BD14_PEA","A0A9D4XA52",0.313368085576817,0.302332627242742,0.149528276035116,0.893,0.506,0.345,FALSE,FALSE,FALSE,FALSE,0.193,-0.198,-0.255,0.125,0.318,-0.0728,-0.328
"A0A9D5BD25_PEA","A0A9D5BD25",0.657449285993799,0.764766880336798,0.49962154322521,0.996,0.881,0.715,FALSE,FALSE,FALSE,FALSE,-0.307,-0.206,-0.421,0.311,0.00429,0.105,-0.316
"A0A9D5BD33_PEA","A0A9D5BD33",0.999445705293985,0.920792026081657,0.0104768732971583,1,0.961,0.0515,FALSE,FALSE,FALSE,FALSE,0.000356,0.051,1.46,-0.427,-0.427,-0.376,1.09
"A0A9D5BD33_PEA.1","A0A9D4XBV2",0.249336457644638,0.123988309184127,0.435419850310049,0.851,0.279,0.661,FALSE,FALSE,FALSE,FALSE,-1.53,-2.12,0.907,1.33,-0.207,-0.792,0.115
"A0A9D5BD48_PEA","A0A9D5BD48",0.695868290671653,0.138975743673858,0.204317323483933,0.996,0.302,0.424,FALSE,FALSE,FALSE,FALSE,-0.331,-1.34,1.01,0.546,0.215,-0.794,0.215
"A0A9D5BD63_PEA","A0A9D5BD63",0.150828600205777,0.601831856695559,0.546483260990799,0.776,0.776,0.749,FALSE,FALSE,FALSE,FALSE,1.18,0.406,-0.421,-0.429,0.754,-0.0238,-0.444
"A0A9D5BD63_PEA.1","A0A9D4ZSM5",0.0664129953203876,0.505557815309262,0.288381685520949,0.645,0.7,0.525,FALSE,FALSE,FALSE,FALSE,-1.93,0.634,-0.925,0.432,-1.49,1.07,0.141
"A0A9D5BD86_PEA","A0A9D5BD86",0.811690663379525,0.459682655029063,0.752307328635961,0.996,0.662,0.874,FALSE,FALSE,FALSE,FALSE,0.382,-1.2,0.453,0.429,0.811,-0.775,-0.322
"A0A9D5BD93_PEA","A0A9D5BD93",0.485853121442409,0.758483790574505,0.702807045108169,0.959,0.877,0.847,FALSE,FALSE,FALSE,FALSE,-1.06,-0.462,0.513,0.401,-0.659,-0.0609,0.452
"A0A9D5BDA2_PEA","A0A9D5BDA2",0.859305470970161,0.565968783018018,0.191719914356058,0.996,0.75,0.406,FALSE,FALSE,FALSE,FALSE,0.22,-0.719,1.53,-0.0848,0.135,-0.804,0.725
"A0A9D5BDA2_PEA.1","A0A9D4XD07",0.0786629651799087,0.196212873724776,0.118919495716743,0.672,0.382,0.296,FALSE,FALSE,FALSE,FALSE,-1.48,-1.04,-1.15,1.28,-0.197,0.245,-0.903
"A0A9D5BDA9_PEA","A0A9D4Y1B2",0.890183345251054,0.207924265878958,0.596830046716134,0.996,0.398,0.78,FALSE,FALSE,FALSE,FALSE,-0.148,-1.42,0.512,0.676,0.528,-0.746,-0.233
"A0A9D5BDD8_PEA","A0A9D5BDD8",0.861294424364367,0.017571317717497,0.0714647269691325,0.996,0.0651,0.209,FALSE,FALSE,FALSE,FALSE,0.0926,1.52,-0.95,-0.595,-0.502,0.924,-0.0255
"A0A9D5BDJ5_PEA","A0A9D5BDJ5",0.00141135289936231,0.0336843007527279,0.0700727471559414,0.176,0.106,0.207,FALSE,FALSE,FALSE,FALSE,-2.56,-1.38,-1.01,1.73,-0.829,0.344,-0.668
